,fid,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM
796,1310,211.58793612612084,1030.9356965202735,1017.5662438593092,159.13116260961843,5.0,14978,0.0,0.0,0.0
797,1311,118.69717995964848,1124.34433845159,1113.6341159248834,59.13232903239759,9.0,14978,0.0,1541.01,0.0
798,1312,58.37911961279757,1218.7992100351426,1210.3389439844425,25.31865718706614,16.0,14978,204.76325225404,14007.22,0.0
799,1313,112.8129334010788,1314.0747236299285,1307.5394090258126,124.71076255783645,16.0,14978,100.080413151956,0.0,0.0
800,1314,205.0486028672199,1410.0045340716767,1405.1326573112424,224.6420495519488,11.75,14978,0.0,0.0,0.0
801,1315,302.2625289262838,1506.463652018991,1503.0421799788385,312.02943868954344,14.0,14978,0.0,0.0,0.0
802,1321,1498.8895294905033,2346.612109591476,1880.4736585807516,182.8523697077154,0.0,16285,0.0,0.0,0.0
803,1322,1422.048104731453,2293.222449343076,1781.495781672888,129.3489042623585,0.0,16285,0.0,0.0,0.0
804,1323,1348.2475128142094,2243.0224206458465,1682.6386429345428,141.51616953422212,0.0,16285,79.3699171306926,0.0,0.0
805,1324,1278.0146527113898,2196.23075403206,1583.924849340705,106.93140215430104,0.0,16285,41.961039477748606,0.0,0.0
806,1325,1211.969926347802,2153.069678033699,1485.3829799423486,18.51199340115772,0.0,16285,106.248080951436,0.0,0.0
807,1326,1150.8346124839327,2113.7616043579087,1387.049677889487,93.95003860877527,0.5,16285,107.62590912868,10154.78,0.0
808,1327,1095.430993401984,2078.5251429146206,1288.9726776955918,106.73049522663128,3.2,16285,241.16516682065495,5065.05,0.2009953839929047
809,1328,1046.6696567714212,2047.570508545136,1191.2152877794829,9.786690802084124,5.5,16285,300.271306015555,5536.955,0.32188256490347117
810,1329,1005.5173954748572,2021.0944493724971,1093.863201188508,56.22575810901933,6.0,16285,37.758408827983104,0.0,0.0
811,1330,972.940207766992,1999.274900352125,997.0351483655638,155.60098063897777,6.75,16285,0.0,0.0,0.0
812,1331,949.8208337734944,1982.2656353659531,900.900113395972,255.4633707544949,6.25,16285,114.358630987389,703.46,0.0
813,1332,936.859721486128,1970.1912443226624,805.7062024367762,304.88619356173143,4.0,16285,0.0,44103.55,0.0
814,1333,934.4796478810767,1963.142785771814,711.8310881440211,245.3739456083074,4.5,16285,81.3354357198968,43815.35,0.0
815,1334,942.7607543585732,1961.174450051056,619.8742247733724,216.91442568303543,5.66666666666667,16285,107.539655138375,17708.45,0.0
816,1335,961.4275951399412,1964.3015088821692,530.8334523248068,232.15274896603665,4.25,16285,73.63294697399759,20409.05,0.0
817,1336,989.8927995149176,1972.4997288084064,446.45693718212686,210.61340652408504,2.25,16285,107.445523149344,3227.84,0.0
818,1337,1027.3422221712292,1985.7063001800452,369.9499729578583,136.64218684198653,3.0,16285,103.124473495162,16823.5,0.0
819,1338,1013.4876859390586,2003.8221999658288,307.2486148165884,86.53488009417795,3.5,16285,203.247949576336,4404.77,0.25198064864191955
820,1339,918.4302514531848,1966.1891680957176,268.2162992847233,117.52487156364111,2.5,23329,337.836478383128,14808.86,0.3204241741131348
821,1340,824.5425996598891,1866.3365928612277,263.5864150126015,84.94504788606643,1.5,14534,124.297007632893,25177.604999999996,0.6651641253032445
822,1341,732.2748153265622,1766.5005656868132,294.98331518212683,98.03428354484124,1.5,7490,530.309034839334,23689.885000000002,0.5201694894035683
823,1342,642.3253430323408,1666.6840603075898,352.9193355067507,178.90030923832416,2.0,7490,49.8409599178358,2168.69,0.0
824,1343,555.8208543025315,1566.8908075549143,426.7182930153811,193.7939393940492,1.5,7490,50.3435206631122,6601.7300000000005,0.2722737776070068
825,1344,474.6486410915039,1467.1255523372474,509.5335993760842,169.69324260429804,1.0,7490,358.622694459896,6177.77,0.46055043254765027
826,1345,402.05146130693777,1367.3944227775664,597.6286633613065,145.19844083523404,2.25,7490,332.335060922707,7656.825,0.2907360039822282
827,1346,343.50976291823594,1267.7054729538131,688.9811991146796,145.9836128995969,4.5,7490,435.19461464288696,14690.279999999999,0.08866934574337962
828,1347,307.1678230837724,1168.0695024168465,782.4510906584262,171.9590553241744,6.0,7490,378.250687890157,22088.780000000002,0.14044940834807634
829,1348,301.17224388971124,1068.5013319569937,877.3618802373691,79.40712294827371,6.5,10315,307.884631937827,19088.235,0.2251126524293193
830,1349,327.19551353204974,969.021861420815,973.2921306537392,11.950108854448189,7.0,2825,347.59883638909696,13829.795,0.2703267196885543
831,1350,378.6933090205087,869.6615301529257,1069.9676711807383,95.64854133780348,6.75,11245,455.543324119823,9239.565,0.3331473140393141
832,1351,446.94504712799454,770.4664325866679,1007.1719778432702,195.3305424554016,5.33333333333333,11245,329.95290406926,35353.615,0.4631223295318649
833,1352,525.4623322761961,671.5097974404445,916.04812189326,242.5574089406904,3.6666666666666696,2825,326.754413773985,69598.0142,0.09645128832239788
834,1353,610.2958174236393,572.9152031248942,826.9779099066708,254.7356452312672,2.6666666666666696,2825,243.28513820136504,3333.495,0.0
835,1354,699.1500851173037,474.9081905882306,740.7025708774846,301.57245242655443,2.6,2825,434.313542178672,5880.51,0.011579788686901049
836,1355,790.670748739711,377.9461424565512,658.3218564696335,218.0559783534513,3.5,11245,406.879333558134,5499.38,0.155261222582464
837,1356,772.5387864018617,283.10478856686484,581.4933947079861,148.5405800554471,2.5,8420,219.020686672159,30065.54,0.5185604230747906
838,1357,707.2627510489679,193.5275009351956,512.7192239865143,128.76233618323116,2.0,8420,0.0,44559.13,0.0
839,1358,650.8644782775992,121.4784076542883,455.661025741208,176.33693765752054,2.5,8420,0.0,59243.52,0.0
840,1359,605.8284300663074,109.82099540633163,415.1776382351886,209.644795867608,2.5,8420,0.0,41663.74,0.0
841,1360,574.8314116346496,171.3587935776551,396.38050579965545,116.83951118348378,1.5,23398,0.0,0.0,0.0
842,1361,494.92217959485663,258.1986809384251,402.3208578234932,48.554348720435065,1.5,23398,10.0251189342249,954.0,0.0
843,1362,414.3633943358884,324.6130042082782,431.9793664956778,65.07516451589123,1.0,14978,173.92093388766003,30635.71,0.38963843759849404
844,1363,344.1593009897249,383.01312150965055,480.98836440315534,141.6247973865831,0.5,14978,104.010151150069,19132.57,0.2085113165852967
845,1364,291.87971757451646,456.0965286279434,544.1442579692759,56.17687848106733,0.0,14978,0.0,0.0,0.0
846,1365,268.219048141626,537.9113114924438,617.1188487203486,43.025192969360845,0.5,14978,123.452740195338,1994.18,0.0
847,1366,280.5150427726053,625.038125290208,696.8342030807422,121.53745095831644,0.5,14978,112.972279376464,3855.4300000000003,0.3330474362450927
848,1367,324.70827497805783,715.5391537399199,781.2295903906046,39.96257429512009,0.5,14978,127.622385294421,2031.34,0.2731555219293931
